state,SA3_code,SA3_name,year_start,year_close,age,num_registered,num_fully_immunised,num_not_fully_immunised,percent_fully_immunised,Remoteness ,State,Latitude,Longitude
QLD,30302,Holland Park - Yeronga,2016,2017,1,913,860,53,94.2,Major Cities of Australia,Queensland,-27.51075197,153.0417273
QLD,30303,Mt Gravatt,2016,2017,1,860,821,39,95.5,Major Cities of Australia,Queensland,-27.55945924,153.1235536
QLD,30304,Nathan,2016,2017,1,514,487,27,94.7,Major Cities of Australia,Queensland,-27.54669439,153.0408417
QLD,30305,Rocklea - Acacia Ridge,2016,2017,1,968,914,54,94.4,Major Cities of Australia,Queensland,-27.61197178,153.0270008
QLD,30306,Sunnybank,2016,2017,1,611,572,39,93.6,Major Cities of Australia,Queensland,-27.59544315,153.0697465
QLD,30401,Centenary,2016,2017,1,415,392,23,94.5,Major Cities of Australia,Queensland,-27.54818239,152.9334672
QLD,30402,Kenmore - Brookfield - Moggill,2016,2017,1,457,425,32,93,Major Cities of Australia,Queensland,-27.50857168,152.8850887
QLD,30403,Sherwood - Indooroopilly,2016,2017,1,476,448,28,94.1,Major Cities of Australia,Queensland,-27.51306792,152.9846025
QLD,30404,The Gap - Enoggera,2016,2017,1,668,646,22,96.7,Major Cities of Australia,Queensland,-27.43607105,152.9171475
QLD,30501,Brisbane Inner,2016,2017,1,553,508,45,91.9,Major Cities of Australia,Queensland,-27.47238571,153.0258244
QLD,30502,Brisbane Inner - East,2016,2017,1,569,538,31,94.6,Major Cities of Australia,Queensland,-27.46732821,153.0662044
QLD,30503,Brisbane Inner - North,2016,2017,1,924,872,52,94.4,Major Cities of Australia,Queensland,-27.43097541,153.0368645
QLD,30504,Brisbane Inner - West,2016,2017,1,658,627,31,95.3,Major Cities of Australia,Queensland,-27.46006183,152.9870161
QLD,30601,Cairns - North,2016,2017,1,668,634,34,94.9,Outer Regional Australia,Queensland,-16.84661638,145.6949502
QLD,30602,Cairns - South,2016,2017,1,1500,1406,94,93.7,Outer Regional Australia,Queensland,-17.04305835,145.7451132
QLD,30603,Innisfail - Cassowary Coast,2016,2017,1,405,374,31,92.3,Outer Regional Australia,Queensland,-17.81368292,145.9131141
QLD,30604,Port Douglas - Daintree,2016,2017,1,131,118,13,90.1,Outer Regional Australia,Queensland,-16.22279654,145.2864759
QLD,30605,Tablelands (East) - Kuranda,2016,2017,1,439,392,47,89.3,Outer Regional Australia,Queensland,-17.85286566,145.3385654
QLD,30701,Darling Downs (West) - Maranoa,2016,2017,1,656,627,29,95.6,Outer Regional Australia,Queensland,-27.2496395,148.9656202
QLD,30702,Darling Downs - East,2016,2017,1,564,537,27,95.2,Inner Regional Australia,Queensland,-27.37073534,151.3657906
QLD,30703,Granite Belt,2016,2017,1,503,465,38,92.4,Inner Regional Australia,Queensland,-28.32207932,151.8872824
QLD,30801,Central Highlands (Qld),2016,2017,1,561,537,24,95.7,Outer Regional Australia,Queensland,-24.03090682,148.42309
QLD,30802,Gladstone - Biloela,2016,2017,1,1185,1118,67,94.3,Inner Regional Australia,Queensland,-24.73259092,150.30423
QLD,30803,Rockhampton,2016,2017,1,1530,1451,79,94.8,Inner Regional Australia,Queensland,-23.02786336,150.2021243
QLD,30901,Broadbeach - Burleigh,2016,2017,1,782,721,61,92.2,Major Cities of Australia,Queensland,-28.06758992,153.428485
QLD,30902,Coolangatta,2016,2017,1,646,583,63,90.2,Major Cities of Australia,Queensland,-28.1424187,153.4703293
QLD,30903,Gold Coast - North,2016,2017,1,666,624,42,93.7,Major Cities of Australia,Queensland,-27.919902,153.380941
QLD,30904,Gold Coast Hinterland,2016,2017,1,174,157,17,90.2,Inner Regional Australia,Queensland,-28.1029492,153.1881682
