"postcode","total_tax","num_individuals","mean_tax","year"
3050,3496578,53,65974,"2015"
3051,464737198,7611,61062,"2015"
3052,202290937,3213,62961,"2015"
3053,395954529,7382,53638,"2015"
3054,450050676,5839,77077,"2015"
3055,461180052,8272,55752,"2015"
3056,892154261,15808,56437,"2015"
3057,412855520,7147,57767,"2015"
3058,1030453859,19418,53067,"2015"
3059,484785698,8756,55367,"2015"
3060,256263984,6011,42633,"2015"
3061,85087749,2121,40117,"2015"
3062,8366895,103,81232,"2015"
3063,22924139,394,58184,"2015"
3064,1520953420,33307,45665,"2015"
3065,446806766,6593,67770,"2015"
3066,278373533,4643,59956,"2015"
3067,331576232,5325,62268,"2015"
3068,891477087,11939,74670,"2015"
3070,998154236,15038,66376,"2015"
3071,609989175,10771,56633,"2015"
3072,919901785,17981,51160,"2015"
3073,1148084817,24679,46521,"2015"
3074,392182133,9460,41457,"2015"
3075,414227949,9805,42247,"2015"
3076,742187739,16421,45198,"2015"
3078,490035866,6936,70652,"2015"
3079,905874103,10124,89478,"2015"
3081,303016040,6455,46943,"2015"
3082,818586979,17091,47896,"2015"
3083,772795112,16567,46647,"2015"
3084,1006590486,15570,64650,"2015"
3085,456813843,7892,57884,"2015"
3087,271675031,5095,53322,"2015"
3088,903946166,16426,55032,"2015"
3089,434186181,7439,58367,"2015"
3090,113773064,1512,75247,"2015"
3091,94902409,1062,89362,"2015"
3093,180594247,2450,73712,"2015"
3094,303553697,5432,55883,"2015"
3095,1139679985,18067,63081,"2015"
3096,63055952,1169,53941,"2015"
3097,71461100,931,76758,"2015"
3099,159016774,3000,53006,"2015"
3101,1621001636,16251,99748,"2015"
3102,314719671,4142,75983,"2015"
3103,823658075,10192,80815,"2015"
3104,934047755,12966,72039,"2015"
3105,384318585,6480,59309,"2015"
3106,737498684,10737,68688,"2015"
3107,445882060,7892,56498,"2015"
3108,664538889,12392,53627,"2015"
3109,860776023,16650,51699,"2015"
3111,477807212,7518,63556,"2015"
3113,372489504,5419,68738,"2015"
3114,219494820,2509,87483,"2015"
3115,199300296,2680,74366,"2015"
3116,310753722,5907,52608,"2015"
3121,1526709616,20683,73815,"2015"
3122,1476077008,15668,94210,"2015"
3123,803605312,8862,90680,"2015"
3124,1311997339,14711,89185,"2015"
3125,400602615,7538,53145,"2015"
3126,632354893,5474,115520,"2015"
3127,992145437,12063,82247,"2015"
3128,555649731,10780,51545,"2015"
3129,549300287,9597,57237,"2015"
3130,1102826301,18824,58587,"2015"
3131,651175754,12549,51891,"2015"
3132,540671714,9841,54941,"2015"
3133,716094272,13390,53480,"2015"
3134,1096556595,19438,56414,"2015"
3135,598194450,11276,53051,"2015"
3136,1313320340,25468,51568,"2015"
3137,381852395,7823,48812,"2015"
3138,620174439,12625,49123,"2015"
3139,409669261,8297,49376,"2015"
3140,514543879,10011,51398,"2015"
3141,1673367890,16967,98625,"2015"
3142,1772493934,10198,173808,"2015"
3143,674283820,6263,107662,"2015"
3144,905256473,7818,115792,"2015"
3145,1153808744,13586,84927,"2015"
3146,1357150840,15827,85750,"2015"
3147,575411012,8333,69053,"2015"
3148,263935051,5108,51671,"2015"
3149,1150188285,20280,56716,"2015"
3150,1999039468,36133,55325,"2015"
3151,286177187,5915,48382,"2015"
3152,1040939769,20024,51985,"2015"
3153,552494438,11504,48027,"2015"
3154,134357738,2639,50913,"2015"
3155,598561992,12588,47551,"2015"
3156,1173427983,22349,52505,"2015"
